System initialized

Reading in Gromacs topology "system_GMX.top"...
Topology loaded

Reading in Gromacs structure "system_GMX.gro"...
Structure loaded

Writing Gromacs structure file...
Finished writing "system_GMX_out.gro"

Writing Gromacs topology file...
Finished writing "system_GMX_out.top"

         31370901 function calls (28826149 primitive calls) in 30.697 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 AbstractAngle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AbstractAngle.py:1(AbstractAngle)
     5901    0.006    0.000    0.006    0.000 AbstractAngle.py:2(__init__)
    23604    0.029    0.000    0.034    0.000 AbstractAngle.py:21(__hash__)
        1    0.000    0.000    0.000    0.000 AbstractAngleType.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AbstractAngleType.py:1(AbstractAngleType)
        1    0.000    0.000    0.000    0.000 AbstractAtomType.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AbstractAtomType.py:3(AbstractAtomType)
    26054    0.009    0.000    0.009    0.000 AbstractAtomType.py:37(__eq__)
     6626    0.004    0.000    0.005    0.000 AbstractAtomType.py:40(__hash__)
     3313    0.007    0.000    0.007    0.000 AbstractAtomType.py:5(__init__)
        1    0.000    0.000    0.000    0.000 AbstractBond.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AbstractBond.py:1(AbstractBond)
    13124    0.014    0.000    0.017    0.000 AbstractBond.py:12(__hash__)
     3281    0.003    0.000    0.003    0.000 AbstractBond.py:2(__init__)
        1    0.000    0.000    0.000    0.000 AbstractBondType.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AbstractBondType.py:1(AbstractBondType)
        1    0.000    0.000    0.000    0.000 AbstractDihedral.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AbstractDihedral.py:1(AbstractDihedral)
      444    0.001    0.000    0.001    0.000 AbstractDihedral.py:10(__eq__)
    12831    0.020    0.000    0.020    0.000 AbstractDihedral.py:2(__init__)
    50880    0.073    0.000    0.084    0.000 AbstractDihedral.py:27(__hash__)
        1    0.000    0.000    0.000    0.000 AbstractPair.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AbstractPair.py:1(AbstractPair)
    34024    0.031    0.000    0.037    0.000 AbstractPair.py:12(__hash__)
     8506    0.009    0.000    0.009    0.000 AbstractPair.py:2(__init__)
        1    0.000    0.000    0.000    0.000 AbstractPairType.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AbstractPairType.py:1(AbstractPairType)
        1    0.000    0.000    0.000    0.000 Angle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Angle.py:4(Angle)
     5901    0.010    0.000    0.016    0.000 Angle.py:6(__init__)
        1    0.000    0.000    0.000    0.000 AngleRestraint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AngleRestraint.py:3(AngleRestraint)
        1    0.000    0.000    0.000    0.000 AngleType.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AngleType.py:4(AngleType)
     3272    0.002    0.000    0.002    0.000 Atom.py:105(setAtomType)
        1    0.000    0.000    0.000    0.000 Atom.py:11(Atom)
     3254    0.109    0.000    0.924    0.000 Atom.py:12(__init__)
    28322    0.116    0.000    1.535    0.000 Atom.py:127(setPosition)
    28322    0.170    0.000    2.072    0.000 Atom.py:149(setVelocity)
     3272    0.004    0.000    0.063    0.000 Atom.py:193(setMass)
     3272    0.004    0.000    0.062    0.000 Atom.py:214(setCharge)
    38084    0.023    0.000    0.030    0.000 Atom.py:252(__hash__)
     3272    0.002    0.000    0.002    0.000 Atom.py:50(setSigma)
     3272    0.001    0.000    0.001    0.000 Atom.py:66(setEpsilon)
        1    0.000    0.000    0.000    0.000 Atom.py:7(<module>)
        1    0.000    0.000    0.001    0.001 AtomCR1Type.py:1(<module>)
        1    0.000    0.000    0.001    0.001 AtomCR1Type.py:4(AtomCR1Type)
        1    0.000    0.000    0.000    0.000 AtomCR23Type.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AtomCR23Type.py:5(AtomCR23Type)
       41    0.000    0.000    0.000    0.000 AtomCR23Type.py:6(__init__)
        1    0.000    0.000    0.000    0.000 Bond.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Bond.py:4(Bond)
     3281    0.005    0.000    0.008    0.000 Bond.py:6(__init__)
        1    0.000    0.000    0.000    0.000 BondType.py:1(<module>)
        1    0.000    0.000    0.000    0.000 BondType.py:4(BondType)
        1    0.000    0.000    0.000    0.000 Constraint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Constraint.py:3(Constraint)
        1    0.000    0.000    0.054    0.054 Converter.py:1(<module>)
   176476    0.504    0.000    3.232    0.000 Converter.py:3(convert_units)
        1    0.000    0.000    0.000    0.000 CrossBondAngleAngle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 CrossBondAngleAngle.py:4(CrossBondAngleAngle)
        1    0.000    0.000    0.000    0.000 CrossBondBondAngle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 CrossBondBondAngle.py:4(CrossBondBondAngle)
        1    0.000    0.000    0.000    0.000 CubicBond.py:1(<module>)
        1    0.000    0.000    0.000    0.000 CubicBond.py:4(CubicBond)
        1    0.000    0.000    0.000    0.000 CubicBondType.py:1(<module>)
        1    0.000    0.000    0.000    0.000 CubicBondType.py:4(CubicBondType)
        1    0.000    0.000    0.000    0.000 Decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Decorators.py:18(ValueException)
       48    0.000    0.000    0.000    0.000 Decorators.py:59(accepts_compatible_units)
        1    0.000    0.000    0.000    0.000 Decorators.py:7(UnitsException)
       48    0.000    0.000    0.000    0.000 Decorators.py:74(check_units)
    22055    0.093    0.000    0.366    0.000 Decorators.py:77(new_f)
        1    0.000    0.000    0.000    0.000 DihedralRestraint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 DihedralRestraint.py:3(DihedralRestraint)
        1    0.000    0.000    0.000    0.000 DistanceRestraint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 DistanceRestraint.py:3(DistanceRestraint)
        1    0.002    0.002    0.060    0.060 Driver.py:1(<module>)
        1    0.001    0.001    8.041    8.041 Driver.py:13(loadStructure)
        1    0.000    0.000   19.622   19.622 Driver.py:36(loadTopology)
        1    0.000    0.000    0.000    0.000 Driver.py:4(initSystem)
        1    0.001    0.001    0.270    0.270 Driver.py:61(writeStructure)
        1    0.001    0.001    2.700    2.700 Driver.py:85(writeTopology)
        1    0.000    0.000    0.000    0.000 Exclusions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Exclusions.py:3(Exclusions)
        3    0.000    0.000    0.000    0.000 Exclusions.py:5(__init__)
        1    0.000    0.000    0.000    0.000 G96Angle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 G96Angle.py:4(G96Angle)
        1    0.000    0.000    0.000    0.000 G96AngleType.py:1(<module>)
        1    0.000    0.000    0.000    0.000 G96AngleType.py:4(G96AngleType)
        1    0.000    0.000    0.000    0.000 G96Bond.py:1(<module>)
        1    0.000    0.000    0.000    0.000 G96Bond.py:4(G96Bond)
        1    0.000    0.000    0.000    0.000 G96BondType.py:1(<module>)
        1    0.000    0.000    0.000    0.000 G96BondType.py:5(G96BondType)
        1    0.001    0.001    0.001    0.001 GromacsStructureParser.py:1(<module>)
        1    0.246    0.246    0.269    0.269 GromacsStructureParser.py:82(writeStructure)
        1    0.888    0.888    8.040    8.040 GromacsStructureParser.py:9(readStructure)
        1    0.000    0.000    0.012    0.012 GromacsTopologyParser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GromacsTopologyParser.py:1126(open)
        1    0.253    0.253    2.700    2.700 GromacsTopologyParser.py:1161(writeTopology)
        1    0.000    0.000    0.000    0.000 GromacsTopologyParser.py:15(GromacsTopologyParser)
        1    0.000    0.000    0.000    0.000 GromacsTopologyParser.py:20(__init__)
        1    0.000    0.000   19.608   19.608 GromacsTopologyParser.py:44(parseTopology)
        1    0.635    0.635   19.309   19.309 GromacsTopologyParser.py:56(readTopology)
        1    0.135    0.135    0.299    0.299 GromacsTopologyParser.py:977(preprocess)
